id_director,"name","bio_es","bio_en",published,"filepic1","created_ts","updated_ts"
439,"Armando  Bo (N)","Nacido en Buenos Aires en 1978, estudió cine en Nueva York e historia del arte en el Museo de Bellas Artes porteño. En 2005 creó, con Patricio Álvarez, la productora de publicidad Rebolución, con la que ha ganado 50 premios internacionales. En 2009 coescribió la nominada al Oscar Biutiful (A. Gómez Iñarritu).
","Born in Buenos Aires in 1978, he studied Filmmaking in New York and Art History at the Fine Arts Museum in Buenos Aires. In 2005 he and Patricio Álvarez founded the advertising company Rebolución, with which he has one over 50 international awards. In 2009 he co-wrote Oscar-nominated film Biutiful (A. Gómez Iñarritu).",1,"armando_bo_n__1.jpg","2012-03-12 20:08:53","2012-03-19 13:54:30"
441,"Ignacio Dimattia","Nació en Rosario, Santa Fe, y estudió dirección en la Universidad del Cine de Buenos Aires, además de régie en el Instituto Superior de Arte del Teatro Colón y dramaturgia con Ricardo Halac. Luego de varios cortometrajes, realizó A, su primer largo documental.
","He was born in Rosario, Santa Fe, and studied Filmmaking at Universidad del Cine in Buenos Aires, as well as régie at the Colón Theater’s High Institute of Art and playwriting with Ricardo Halac. After making several short films, he directed A, his first documentary feature.",1,"ignacio_dimattia_1.jpg","2012-03-13 13:37:05","2012-03-13 13:37:05"
442,"Mauro Andrizzi","Nació en Mar del Plata en 1980. Estudió guión en la ENERC, fue programador del Festival Internacional de Cine de Mar del Plata y realizó Iraqi Short films ([11] BAFICI) y En el futuro ([13] BAFICI). Tras dirigir el largo documental Mono (2007) fundó su propia productora de cine independiente, Mono Films.
","He was born in Mar del Plata in 1980. He studied Scriptwriting at the ENERC, worked as a programmer for the Mar del Plata International Film Festival, and directed many short films, including Color y pixel (2006). After making the documentary film Mono (2007) he founded his own independent film production company, Mono Films, and directed In the Future ([13] BAFICI).",1,"mauro_andrizzi_1.jpg","2012-03-13 13:49:22","2012-03-28 13:45:45"
443,"Marcus Lindeen ","Nació en Ängelholm, Suecia, en 1980. Estudió dirección teatral en el Dramatiska Institutet en Estocolmo. Se desempeñó como dramaturgo y director de teatro. Antes de Accidentes gloriosos, debutó como director de cine con el documental Regretters (2010). ","He was born in Ängelholm, Sweden, in 1980. He studied stage direction at the Dramatiska Institutet in Stockholm. He worked as a playwright and theater director. Before Accidentes gloriosos, he made his directorial debut with the documentary Regretters (2010). ",1,"marcus_lindeen_1.jpg","2012-03-13 13:50:03","2012-03-13 13:50:03"
444,"Yorgos Lanthimos","Nacido en Atenas, Grecia, en 1973, estudió dirección de cine y TV en la Escuela de Cine Stavrakos. En 2000 codirigió My Best Friend con Lakis Lazopoulos, y tras el cortometraje Uranisco Disco llegó su largo debut en solitario, Kinetta (2005). Dogtooth (2009), el segundo, ganó el premio Un Certain Regard en el Festival de Cannes y fue nominado al Oscar.
","Born in Athens, Greece, in 1973, he studied film and television direction at Stavrakos Film School. In 2000, he co-directed My Best Friend with Lakis Lazopoulos, and after the short film Uranisco Disco (2001) came his solo feature film debut, Kinetta, in 2005. Dogtooth (2009), the second one, won the Prix Un Certain Regard at the Cannes Film Festival and was nominated for an Oscar.",1,"yorgos_lanthimos_1.jpg","2012-03-13 13:58:36","2012-03-13 14:01:36"
445,"Carolin Schmitz","Nacida en 1967 en Wiesbaden, Alemania, estudió en la Academia de Artes y Medios de Colonia. Dirigió los cortometrajes Alles ist gut (1996), Die Dame hängt (1998), 4min3sec (1999), Sitzend überleben (2001), Paralleluniversen (2002) y Benidorm (2006), además del largometraje Portraits of German Alcoholics (2010).
","Born in 1967 in Wiesbaden, Germany, she studied at the Arts and Media Academy of Koln. She directed the short films Alles ist gut (1996), Die Dame hängt (1998), 4min3sec (1999), Sitzend überleben (2001), Paralleluniversen (2002) and Benidorm (2006), as well as the full-length film Portraits of German Alcoholics (2010).",1,"carolin_schmitz_1.jpg","2012-03-13 14:02:45","2012-03-13 14:02:45"
447,"Gabriel Medina","Nació en Buenos Aires en 1975. Estudió dirección en la Universidad del Cine. Luego de los cortometrajes Brisa fresca (1995), Javo no murió (1997) y Elena (2000), entre otros trabajos, realizó su primer largometraje, Los paranoicos (Bafici 08, Competencia Internacional).
","He was born in Buenos Aires in 1975. He studied filmmaking at Universidad del Cine. He directed the shorts Brisa fresca (1995), Javo no murió (1997) and Elena (2000) among others, followed by his first feature The Paranoids (Bafici ‘08, International Competition).",1,"gabriel_medina_1.jpg","2012-03-13 14:12:50","2012-03-19 14:57:37"
448,"Jakob Weingartner","Nació en Feldkirch, Austria, en 1979. Estudió sociología y urbanismo en Viena, París y Nueva York, y realizó un posgrado en la Universidad del Cine de Buenos Aires. Dirigió los cortometrajes documentales Obras y obreros (2008) y Murga en Lugones (2009), además de trabajar en la radio. Boxeo Constitución es su primer largometraje.","Born in Feldkirch, Austria, in 1979. He studied Sociology and Urban Planning in Vienna, Paris and New York, and made a post-graduate at Universidad del Cine in Buenos Aires. He directed the documentary shorts Obras y obreros (2008) and Murga en Lugones (2009), and also worked in radio. Boxeo Constitución is his first feature film.",1,"jakob_weingartner_1.jpg","2012-03-13 14:13:27","2012-03-13 14:13:45"
449,"Maximiliano Schonfeld","Nacido en Crespo, provincia de Entre Ríos, en 1982, estudió cine y TV en la Universidad Nacional de Córdoba y luego se graduó en la ENERC. Fue asistente en películas de Santiago Loza e Iván Fund, y realizó los cortometrajes Esnorquel (2005), Entreluces (2006, Bafici ‘07) e Invernario (2010, Bafici ‘11). Es docente y encargado del área de producción del Instituto Audiovisual de Entre Ríos.
","Born in 1982 in Crespo, in the Entre Ríos province, he studied Film and TV in the Córdoba National University and later graduated from the ENERC. He worked as an assistant director in films by Santiago Loza and Iván Fund, and directed the short films Esnorquel (2005), Entreluces (2006, Bafici ‘07) and Invernario (2010, Bafici ‘11). He’s a teacher and directs the production area of the Entre Ríos Audiovisual Institute.",1,"maximiliano_schonfeld_1.jpg","2012-03-13 14:13:50","2012-03-13 14:13:50"
450,"Alejandro Fadel","Nació en Mendoza en 1981. Estudió en la Universidad del Cine, donde realizó el cortometraje Felipe (Mejor Cortometraje en Bafici ‘02). Junto a Martín Mauregui, Santiago Mitre y Juan Schnitman dirigió El amor (primera parte) (2003; Bafici ‘04). Como guionista trabajó junto a directores como Pablo Trapero, Israel Adrián Caetano, Jorge Gaggero y Damián Szifrón, entre otros.
","He was born in Mendoza in 1981. He studied at Universidad del Cine, where he made the short film Felipe (Best Short Film at Bafici ‘02). Together with Martín Mauregui, Santiago Mitre and Juan Schnitman, he directed El amor (primera parte) (2003; Bafici ‘04). As a script writer he worked with directors such as Pablo Trapero, Israel Adrián Caetano, Jorge Gaggero and Damian Szifrón, among others.",1,"alejandro_fadel_1.jpg","2012-03-13 14:15:16","2012-03-13 14:15:16"
